transaction_id,customer_id,product_id,quantity,unit_price,total_amount,discount_amount,tax_amount,shipping_cost,payment_method,transaction_date,order_status,shipping_address,channel
TXN_00000093,CUST_000178,PROD_000129,1,70.75,70.75,7.86,5.66,7.72,PayPal,2025-07-22 14:08:34,Completed,"55905 Davis Key, Robertton, TN 32512",Website
TXN_00000094,CUST_000214,PROD_000086,4,22.73,90.9,1.86,7.27,5.48,Credit Card,2025-07-22 14:07:46,Cancelled,"903 Patricia Mission Apt. 634, Onealshire, GA 49535",In-Store
TXN_00000095,CUST_000645,PROD_000318,2,17.76,35.52,0.72,2.84,9.72,Credit Card,2025-07-22 14:08:12,Pending,"16125 Daniel Trail, New Carolyn, VA 77191",Mobile App
TXN_00000096,CUST_000498,PROD_000241,3,384.84,1154.52,128.28,92.36,3.58,Credit Card,2025-07-22 14:04:42,Refunded,"84523 Ochoa Shoals Suite 268, Greenfort, AR 15237",Mobile App
TXN_00000097,CUST_000133,PROD_000297,2,342.79,685.59,13.99,54.85,4.81,PayPal,2025-07-22 14:09:52,Refunded,"8320 Maddox Terrace, East Ryanfurt, FL 17827",In-Store
TXN_00000098,CUST_000963,PROD_000304,1,250.94,250.94,5.12,20.08,0.95,PayPal,2025-07-22 14:09:11,Refunded,"862 Harry Court Suite 386, Karenchester, NV 31153",Phone
TXN_00000099,CUST_000272,PROD_000122,5,79.11,395.55,43.95,31.64,7.9,Credit Card,2025-07-22 14:07:52,Refunded,"96661 Jessica Square Suite 732, West Dana, VT 78660",In-Store
TXN_00000100,CUST_000904,PROD_000466,4,401.64,1606.56,84.56,128.52,9.31,Credit Card,2025-07-22 14:08:30,Pending,"10427 Green Fields, Joshuashire, FL 15539",Phone
TXN_00000101,CUST_000341,PROD_000172,1,91.22,91.22,4.8,7.3,1.2,Debit Card,2025-07-22 14:06:15,Cancelled,"514 Pham Stream, Atkinsonview, MI 90024",Website
TXN_00000102,CUST_000983,PROD_000224,1,73.44,73.44,3.87,5.88,2.47,Credit Card,2025-07-22 14:10:09,Pending,"58284 Brittany Views, Mariastad, CO 50844",Phone
TXN_00000103,CUST_000277,PROD_000323,2,133.92,267.84,29.76,21.43,13.12,Credit Card,2025-07-22 14:08:14,Cancelled,"5676 Murray Points Apt. 612, Kristinshire, NY 49405",Phone
TXN_00000104,CUST_000025,PROD_000132,5,374.36,1871.78,98.52,149.74,13.98,Bank Transfer,2025-07-22 14:05:23,Cancelled,"17240 Mark Centers Suite 556, East Amanda, OK 89865",Phone
TXN_00000105,CUST_000615,PROD_000276,4,79.97,319.9,35.54,25.59,11.07,Credit Card,2025-07-22 14:04:25,Cancelled,"707 Jared Lake Apt. 360, Christinaburgh, RI 66485",Mobile App
TXN_00000106,CUST_000554,PROD_000443,1,219.38,219.38,11.55,17.55,0.33,Debit Card,2025-07-22 14:04:46,Cancelled,"9994 Perkins Squares Suite 667, Lake Brian, AR 72660",Phone
TXN_00000107,CUST_000177,PROD_000077,5,268.77,1343.87,70.73,107.51,5.14,PayPal,2025-07-22 14:07:55,Refunded,"7567 Johnson Fall, Nicoleburgh, NM 56951",Phone
TXN_00000108,CUST_000767,PROD_000072,4,250.28,1001.13,20.43,80.09,4.56,Debit Card,2025-07-22 14:06:22,Cancelled,"0254 Morris Shoals, West Kennethton, NY 98067",Mobile App
TXN_00000109,CUST_000830,PROD_000366,3,246.82,740.48,82.28,59.24,3.4,PayPal,2025-07-22 14:08:49,Cancelled,"1572 Jasmine Station Apt. 611, Ryanville, CT 40729",Website
TXN_00000110,CUST_000414,PROD_000292,2,296.31,592.63,12.09,47.41,5.3,Bank Transfer,2025-07-22 14:09:45,Pending,"63248 Mercado Estate Apt. 762, Ramirezview, PA 28569",Mobile App
TXN_00000111,CUST_000668,PROD_000301,5,329.8,1648.98,183.22,131.92,4.28,Debit Card,2025-07-22 14:06:53,Pending,"56685 Gloria Village, Jamesville, KY 68009",Mobile App
TXN_00000112,CUST_000846,PROD_000078,2,389.9,779.8,86.64,62.38,1.75,PayPal,2025-07-22 14:06:24,Pending,"76090 Tyler Mall Suite 581, West Michaelfort, GU 32865",Phone
TXN_00000113,CUST_000321,PROD_000032,3,203.07,609.22,32.06,48.74,5.55,Debit Card,2025-07-22 14:08:08,Completed,"37341 May Cliffs Suite 734, Kennethmouth, MA 59532",In-Store
TXN_00000114,CUST_000076,PROD_000249,3,217.66,652.97,13.33,52.24,2.22,Bank Transfer,2025-07-22 14:04:52,Pending,"85691 Hale Stream, North John, NE 15703",In-Store
TXN_00000115,CUST_000978,PROD_000384,1,118.68,118.68,13.19,9.49,13.81,Bank Transfer,2025-07-22 14:06:18,Refunded,"03854 Samuel Circle, Katherinemouth, OK 94151",Mobile App
TXN_00000116,CUST_000368,PROD_000408,4,415.55,1662.19,184.69,132.98,13.92,Debit Card,2025-07-22 14:06:04,Completed,"6829 Blake Coves, Stephenborough, VT 80001",In-Store
TXN_00000117,CUST_000275,PROD_000010,3,371.35,1114.05,123.78,89.12,7.11,PayPal,2025-07-22 14:05:20,Pending,"2728 Hanson Shores, West Tommy, CA 39131",Phone
TXN_00000118,CUST_000916,PROD_000037,3,127.95,383.84,20.2,30.71,10.34,Bank Transfer,2025-07-22 14:09:52,Completed,"PSC 8862, Box 3065, APO AP 34503",Mobile App
TXN_00000119,CUST_000181,PROD_000462,5,456.44,2282.18,120.12,182.57,1.75,Credit Card,2025-07-22 14:06:58,Refunded,"1364 Lucas Glens Apt. 631, East Anthony, AS 41204",Mobile App
TXN_00000120,CUST_000358,PROD_000339,4,241.25,964.99,19.69,77.2,5.36,PayPal,2025-07-22 14:08:55,Completed,"1822 Robert Place Suite 288, Gravesview, UT 33189",Mobile App
TXN_00000121,CUST_000709,PROD_000192,5,257.83,1289.16,143.24,103.13,7.9,PayPal,2025-07-22 14:04:58,Pending,"56756 Luna Alley Suite 188, Acevedoville, MS 64909",Website
TXN_00000122,CUST_000797,PROD_000291,1,72.54,72.54,8.06,5.8,8.08,Bank Transfer,2025-07-22 14:10:10,Completed,"49032 John Orchard Suite 146, Oliviashire, IA 93609",Phone
TXN_00000123,CUST_000266,PROD_000358,2,454.79,909.59,47.87,72.77,7.36,Credit Card,2025-07-22 14:09:11,Cancelled,"1720 Matthews Hill Suite 601, Port Marcus, WY 24869",Phone
TXN_00000124,CUST_000172,PROD_000430,2,473.0,945.99,49.79,75.68,10.74,Bank Transfer,2025-07-22 14:10:12,Cancelled,"7652 Jeffery Parkway Apt. 389, South Stevenland, DE 17701",Phone
TXN_00000125,CUST_000399,PROD_000384,3,129.23,387.7,7.91,31.02,0.18,PayPal,2025-07-22 14:07:40,Cancelled,"02389 Krueger Flats Apt. 600, Jenniferstad, MA 00859",In-Store
TXN_00000126,CUST_000349,PROD_000335,4,265.33,1061.34,55.86,84.91,13.11,Credit Card,2025-07-22 14:05:58,Pending,"PSC 9988, Box 6834, APO AA 18258",Phone
TXN_00000127,CUST_000454,PROD_000173,4,436.78,1747.13,91.95,139.77,12.06,PayPal,2025-07-22 14:06:21,Pending,"6694 Johnson Crest Apt. 533, Mooremouth, KS 57841",Phone
TXN_00000128,CUST_000119,PROD_000326,4,372.34,1489.36,30.4,119.15,2.09,Credit Card,2025-07-22 14:08:55,Pending,"34333 Mary Knolls, Port Daniel, PW 10788",Mobile App
TXN_00000129,CUST_000971,PROD_000176,3,390.04,1170.12,23.88,93.61,7.12,PayPal,2025-07-22 14:04:58,Completed,"3007 Pacheco Green, Tinaland, AS 69842",Phone
TXN_00000130,CUST_000368,PROD_000339,1,221.55,221.55,24.62,17.72,0.1,PayPal,2025-07-22 14:06:08,Refunded,"6829 Blake Coves, Stephenborough, VT 80001",Mobile App
TXN_00000131,CUST_000994,PROD_000327,5,469.65,2348.26,123.59,187.86,6.93,Debit Card,2025-07-22 14:04:21,Pending,"39593 Roman Crescent, Christophermouth, AK 54904",Mobile App
TXN_00000132,CUST_000552,PROD_000440,4,254.94,1019.77,113.31,81.58,4.34,Bank Transfer,2025-07-22 14:04:30,Completed,"00008 Wright Highway, Chavezshire, DE 80741",In-Store
TXN_00000133,CUST_000226,PROD_000366,5,260.54,1302.69,68.56,104.22,4.56,Bank Transfer,2025-07-22 14:06:47,Pending,"USNV Hicks, FPO AA 83729",Website
TXN_00000134,CUST_000020,PROD_000256,1,325.04,325.04,36.12,26.0,2.31,PayPal,2025-07-22 14:10:00,Refunded,"PSC 4964, Box 9909, APO AP 13507",Website
TXN_00000135,CUST_000572,PROD_000226,3,277.76,833.28,43.86,66.66,6.26,Bank Transfer,2025-07-22 14:06:15,Pending,"698 Cody Grove, Lake Raymond, NM 10650",Website
TXN_00000136,CUST_000284,PROD_000343,1,98.42,98.42,10.94,7.87,11.47,Bank Transfer,2025-07-22 14:07:28,Completed,"1699 Paige Neck, West Jennifer, CT 05167",In-Store
TXN_00000137,CUST_000254,PROD_000108,5,336.45,1682.24,186.92,134.58,7.21,Bank Transfer,2025-07-22 14:05:25,Cancelled,"56341 Christian Rapids, Anthonyport, GA 71485",Phone
TXN_00000138,CUST_000071,PROD_000398,1,339.4,339.4,37.71,27.15,5.6,Credit Card,2025-07-22 14:07:22,Cancelled,"09584 Mario Squares, Keithview, PR 67926",Mobile App
TXN_00000139,CUST_000626,PROD_000435,5,189.38,946.88,19.32,75.75,0.88,PayPal,2025-07-22 14:09:40,Refunded,"7553 Vanessa Wells Apt. 737, West Brandymouth, NM 79475",Mobile App
